商品ID,商品名,商品ライン,商品カテゴリ,価格
P0001,フローラル商品1,フローラル,トライアル,4515
P0002,ナチュラル商品2,ナチュラル,トライアル,4696
P0003,ナチュラル商品3,ナチュラル,トライアル,614
P0004,ピュア商品4,ピュア,本品,559
P0005,フローラル商品5,フローラル,トライアル,1067
P0006,ピュア商品6,ピュア,本品,1813
P0007,ピュア商品7,ピュア,トライアル,3734
P0008,ナチュラル商品8,ナチュラル,本品,827
P0009,ピュア商品9,ピュア,トライアル,1560
P0010,フローラル商品10,フローラル,トライアル,4618
P0011,ナチュラル商品11,ナチュラル,トライアル,2986
P0012,ピュア商品12,ピュア,トライアル,2773
P0013,ピュア商品13,ピュア,本品,3082
P0014,ピュア商品14,ピュア,トライアル,922
P0015,フローラル商品15,フローラル,トライアル,1740
P0016,ピュア商品16,ピュア,トライアル,1844
P0017,ナチュラル商品17,ナチュラル,トライアル,4828
P0018,ナチュラル商品18,ナチュラル,本品,1701
P0019,フローラル商品19,フローラル,本品,3270
P0020,ナチュラル商品20,ナチュラル,本品,3950
